State,Date,Daily Confirmed,Daily deceased,Daily recovered,Daily tested
Andaman and Nicobar Islands,3/26/2020,1,0,0,0
Andaman and Nicobar Islands,3/27/2020,5,0,0,0
Andaman and Nicobar Islands,3/28/2020,3,0,0,0
Andaman and Nicobar Islands,3/30/2020,1,0,0,0
Andaman and Nicobar Islands,4/8/2020,1,0,0,0
Andaman and Nicobar Islands,4/17/2020,1,0,0,1403
Andaman and Nicobar Islands,4/24/2020,7,0,0,1276
Andaman and Nicobar Islands,6/9/2020,1,0,0,518
Andaman and Nicobar Islands,6/10/2020,1,0,0,151
Andhra Pradesh,3/12/2020,1,0,0,0
Andhra Pradesh,3/19/2020,2,0,0,0
Andhra Pradesh,3/21/2020,2,0,0,0
Andhra Pradesh,3/22/2020,1,0,0,0
Andhra Pradesh,3/23/2020,1,0,0,0
Andhra Pradesh,3/24/2020,1,0,0,0
Andhra Pradesh,3/25/2020,2,0,0,0
Andhra Pradesh,3/26/2020,1,0,0,0
Andhra Pradesh,3/27/2020,2,0,0,0
Andhra Pradesh,3/28/2020,6,0,0,0
Andhra Pradesh,3/29/2020,2,0,1,0
Andhra Pradesh,4/1/2020,67,0,1,0
Andhra Pradesh,4/2/2020,38,0,0,1800
Andhra Pradesh,4/9/2020,15,2,4,0
Andhra Pradesh,4/12/2020,15,1,2,0
Andhra Pradesh,4/14/2020,45,4,4,1750
Andhra Pradesh,4/15/2020,41,3,4,1108
Andhra Pradesh,4/18/2020,31,2,7,1215
Andhra Pradesh,4/19/2020,44,1,23,5508
Andhra Pradesh,4/20/2020,75,3,27,3775
Andhra Pradesh,4/21/2020,35,2,4,5022
Andhra Pradesh,4/22/2020,56,2,24,5757
Andhra Pradesh,4/23/2020,80,3,21,6520
Andhra Pradesh,4/24/2020,62,2,4,6306
Andhra Pradesh,4/25/2020,61,2,26,6928
Andhra Pradesh,4/26/2020,81,0,60,6768
Andhra Pradesh,4/27/2020,80,0,4,6517
Andhra Pradesh,4/28/2020,82,0,23,5783
Andhra Pradesh,4/29/2020,73,0,29,7727
Andhra Pradesh,4/30/2020,71,0,34,6497
Andhra Pradesh,5/1/2020,60,2,82,7902
Andhra Pradesh,5/2/2020,62,0,38,5943
Andhra Pradesh,5/3/2020,58,0,47,6534
Andhra Pradesh,5/4/2020,67,0,36,10292
Andhra Pradesh,5/5/2020,67,1,65,8263
Andhra Pradesh,5/6/2020,60,2,140,7782
Andhra Pradesh,5/7/2020,56,2,51,8087
Andhra Pradesh,5/8/2020,54,3,62,7320
Andhra Pradesh,5/9/2020,43,3,45,8388
Andhra Pradesh,5/10/2020,50,1,38,8666
Andhra Pradesh,5/11/2020,38,0,73,7409
Andhra Pradesh,5/12/2020,71,1,58,10730
Andhra Pradesh,5/13/2020,48,1,86,9322
Andhra Pradesh,5/14/2020,68,1,50,9256
Andhra Pradesh,5/15/2020,102,0,60,9038
Andhra Pradesh,5/16/2020,48,1,101,0
Andhra Pradesh,5/17/2020,25,1,103,19508
Andhra Pradesh,5/18/2020,52,0,96,9773
Andhra Pradesh,5/19/2020,57,2,69,9679
Andhra Pradesh,5/20/2020,71,1,43,9162
Andhra Pradesh,5/21/2020,45,1,41,8092
Andhra Pradesh,5/22/2020,62,1,26,8415
Andhra Pradesh,5/23/2020,47,1,48,8850
Andhra Pradesh,5/24/2020,66,0,62,11357
Andhra Pradesh,5/25/2020,106,0,51,10240
Andhra Pradesh,5/26/2020,97,1,125,8148
Andhra Pradesh,5/27/2020,134,1,48,9664
Andhra Pradesh,5/28/2020,128,1,68,9858
Andhra Pradesh,5/29/2020,85,1,101,11638
Andhra Pradesh,5/30/2020,131,0,55,9504
Andhra Pradesh,5/31/2020,110,2,51,9370
Andhra Pradesh,6/1/2020,105,2,34,10567
Andhra Pradesh,6/2/2020,115,0,40,12366
Andhra Pradesh,6/3/2020,180,4,50,8066
Andhra Pradesh,6/4/2020,141,3,65,9986
Andhra Pradesh,6/5/2020,138,2,36,9831
Andhra Pradesh,6/6/2020,210,0,75,12771
Andhra Pradesh,6/7/2020,199,2,29,17695
Andhra Pradesh,6/8/2020,154,0,42,14246
Andhra Pradesh,6/9/2020,69,2,48,15085
Andhra Pradesh,6/10/2020,365,1,110,15355
Andhra Pradesh,6/11/2020,182,2,99,11602
Andhra Pradesh,6/12/2020,207,0,123,11775
Arunachal Pradesh,4/2/2020,1,0,0,0
Arunachal Pradesh,5/24/2020,1,0,0,222
Arunachal Pradesh,5/28/2020,1,0,0,548
Arunachal Pradesh,5/30/2020,1,0,0,529
Arunachal Pradesh,6/1/2020,18,0,0,485
Arunachal Pradesh,6/2/2020,2,0,0,311
Arunachal Pradesh,6/3/2020,10,0,0,472
Arunachal Pradesh,6/4/2020,5,0,0,474
Arunachal Pradesh,6/5/2020,4,0,0,765
Arunachal Pradesh,6/6/2020,2,0,0,471
Arunachal Pradesh,6/7/2020,3,0,0,255
Arunachal Pradesh,6/8/2020,6,0,0,496
Arunachal Pradesh,6/9/2020,0,0,1,443
Arunachal Pradesh,6/10/2020,4,0,2,580
Arunachal Pradesh,6/11/2020,6,0,0,444
Assam,3/31/2020,1,0,0,0
Assam,4/1/2020,15,0,0,0
Assam,4/10/2020,0,1,0,1901
Assam,4/12/2020,1,0,0,127
Assam,4/14/2020,1,0,0,353
Assam,4/16/2020,2,0,3,495
Assam,5/11/2020,2,0,5,1587
Assam,5/15/2020,3,0,1,2354
Assam,5/17/2020,8,0,1,3100
Assam,5/18/2020,15,2,0,3522
Assam,5/20/2020,31,0,7,5968
Assam,5/21/2020,22,0,6,4646
Assam,5/23/2020,121,0,2,4614
Assam,5/24/2020,46,0,1,6039
Assam,5/25/2020,156,0,5,3585
Assam,5/29/2020,177,0,22,19736
Assam,5/30/2020,159,0,38,8867
Assam,5/31/2020,123,0,22,7840
Assam,6/2/2020,74,0,53,11278
Assam,6/3/2020,271,0,76,6351
Assam,6/4/2020,285,0,46,6303
Assam,6/6/2020,230,0,79,13576
Assam,6/7/2020,208,0,48,6721
Assam,6/9/2020,215,1,312,16516
Assam,6/10/2020,235,1,152,0
Assam,6/11/2020,145,0,184,11266
Assam,6/12/2020,263,2,152,6982
Bihar,3/22/2020,2,0,0,0
Bihar,3/23/2020,1,0,0,0
Bihar,3/25/2020,1,0,0,0
Bihar,3/26/2020,3,0,0,0
Bihar,3/27/2020,2,0,0,0
Bihar,3/28/2020,2,0,0,0
Bihar,3/29/2020,4,1,0,0
Bihar,4/2/2020,5,0,3,0
Bihar,4/13/2020,2,0,2,560
Bihar,4/16/2020,11,0,8,583
Bihar,4/18/2020,1,1,5,644
Bihar,4/23/2020,27,0,2,807
Bihar,4/25/2020,28,0,1,961
Bihar,4/26/2020,26,0,11,1156
Bihar,4/28/2020,20,0,8,1611
Bihar,4/30/2020,22,0,20,1492
Bihar,5/1/2020,41,1,14,1446
Bihar,5/2/2020,15,1,19,1606
Bihar,5/3/2020,36,0,7,1227
Bihar,5/4/2020,11,0,3,1394
Bihar,5/5/2020,7,0,31,446
Bihar,5/7/2020,8,1,60,513
Bihar,5/8/2020,29,0,49,479
Bihar,5/9/2020,32,0,51,1232
Bihar,5/10/2020,96,1,36,1118
Bihar,5/11/2020,42,0,23,1992
Bihar,5/12/2020,130,0,5,2768
Bihar,5/13/2020,74,1,18,1719
Bihar,5/14/2020,46,0,12,1633
Bihar,5/15/2020,34,0,28,1863
Bihar,5/16/2020,145,1,33,1695
Bihar,5/18/2020,103,1,44,1267
Bihar,5/20/2020,257,0,54,2798
Bihar,5/22/2020,179,2,58,2789
Bihar,5/23/2020,228,0,24,2739
Bihar,5/24/2020,180,0,49,2521
Bihar,5/25/2020,163,2,31,0
Bihar,5/26/2020,231,1,67,0
Bihar,5/27/2020,68,1,118,4521
Bihar,5/28/2020,149,0,132,2013
Bihar,5/29/2020,174,0,159,1981
Bihar,5/30/2020,206,6,102,1673
Bihar,5/31/2020,242,2,209,1808
Bihar,6/1/2020,138,0,221,2353
Bihar,6/2/2020,151,1,62,3323
Bihar,6/3/2020,230,1,222,3316
Bihar,6/4/2020,126,3,95,3584
Bihar,6/5/2020,146,1,113,3590
Bihar,6/6/2020,233,0,65,3570
Bihar,6/7/2020,239,1,107,3635
Bihar,6/8/2020,177,1,137,3210
Bihar,6/9/2020,208,2,228,3270
Bihar,6/10/2020,243,1,164,3895
Bihar,6/11/2020,250,0,152,3742
Bihar,6/12/2020,148,1,230,3446
Chandigarh ,3/19/2020,1,0,0,0
Chandigarh ,3/20/2020,4,0,0,0
Chandigarh ,3/22/2020,1,0,0,0
Chandigarh ,3/23/2020,1,0,0,0
Chandigarh ,3/27/2020,1,0,0,0
Chandigarh ,3/30/2020,5,0,0,0
Chandigarh ,3/31/2020,2,0,0,0
Chandigarh ,4/1/2020,2,0,0,0
Chandigarh ,4/2/2020,1,0,0,124
Chandigarh ,4/10/2020,1,0,0,39
Chandigarh ,4/12/2020,2,0,0,15
Chandigarh ,4/15/2020,0,0,2,8
Chandigarh ,4/18/2020,2,0,0,23
Chandigarh ,4/19/2020,3,0,4,49
Chandigarh ,4/20/2020,0,0,1,23
Chandigarh ,4/21/2020,1,0,0,44
Chandigarh ,4/24/2020,0,0,1,39
Chandigarh ,4/25/2020,1,0,0,96
Chandigarh ,4/26/2020,8,0,2,22
Chandigarh ,4/27/2020,9,0,0,87
Chandigarh ,4/28/2020,11,0,0,81
Chandigarh ,4/29/2020,12,0,0,88
Chandigarh ,4/30/2020,6,0,1,135
Chandigarh ,5/1/2020,14,0,0,105
Chandigarh ,5/2/2020,6,0,1,210
Chandigarh ,5/3/2020,3,1,0,154
Chandigarh ,5/4/2020,5,0,2,62
Chandigarh ,5/8/2020,11,1,0,68
Chandigarh ,5/9/2020,23,0,3,142
